centroid_group,count_listings,count_licenses,license_dict,status_dict,license_exceed_type,ISD_adress_dict,host,host_id,alias_dict,shared_license,avg_USD/night,mean_latitude,mean_longitude,GCODE_office,GCODE_house_number,GCODE_road,GCODE_neighbourhood,GCODE_suburb,GCODE_city,GCODE_county,GCODE_state,GCODE_postcode,GCODE_country,GCODE_country_code,GCODE_building,GCODE_hamlet,GCODE_quarter,GCODE_tourism,GCODE_square,GCODE_shop,GCODE_commercial,GCODE_amenity,GCODE_man_made,GCODE_residential,GCODE_railway,GCODE_historic,GCODE_leisure,GCODE_city_block,GCODE_town,GCODE_natural,GCODE_aeroway,GCODE_military,GCODE_retail,GCODE_place,confidence,max_listing_distance,avg_listing_distance,std_listing_distance,ISD_found
0-844s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Michelle,CorpGroup35,{'38997.0': 1},False,83.0,42.36487,-71.05597,,7,Baldwin Place,Dock Square,North End,Boston,Suffolk County,Massachusetts,02113,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-943s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Michelle,CorpGroup35,{'38997.0': 1},False,83.0,42.3609,-71.07086,,161,Cambridge Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02114,United States of America,us,,,,,,,,Dunkin' Donuts,,,,,,Charles River Square,,,,,,,unknown (too few),,,,False
0-845s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Furnished Quarters,CorpGroup25,{'22541573.0': 1},False,210.0,42.36262,-71.06591,,60,William Cardinal O'Connell Way,Waterfront,West End,Boston,Suffolk County,Massachusetts,02222,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-160s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jonathan,16052189,{'nan': 1},False,28.0,42.23679,-71.13133,,209,Neponset Valley Parkway,Readville,Hyde Park,Boston,Suffolk County,Massachusetts,02136-2460,United States of America,us,Boston Fire Department Engine 49,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-846s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Post Group,CorpGroup24,{'9410008.0': 1},False,213.0,42.36704,-71.05376,,7;9,Henchman Street,Dock Square,North End,Boston,Suffolk County,Massachusetts,02128,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-531s,1,1,{'345786': 1},{'Not found (fabricated)': 1},,{'25 John A. Andrew ST 19 Boston MA 02130': 1},Misha,50437930,{'nan': 1},False,154.0,42.336459999999995,-71.08363,,92,Hammond Street,Nubian Square,South End,Boston,Suffolk County,Massachusetts,02119,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-532s,1,1,{'415974': 1},{'Active (limit exceeded)': 1},listing,{'53 Caryll ST 17 Mattapan MA 02126': 1},Althea,27871799,{'nan': 1},False,55.0,42.27514,-71.0774,,50,Caryll Street,Lower Mills,,Boston,Suffolk County,Massachusetts,02126,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-161s,1,1,{'406255': 1},{'Active': 1},,{'20 Moon ST 03 Apt 1 Boston MA 02113': 1},Dror,5578043,{'nan': 1},False,430.0,42.36424,-71.0526,,16,Moon Street,Dock Square,North End,Boston,Suffolk County,Massachusetts,02113,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-720s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Post Group,CorpGroup24,{'9410008.0': 1},False,218.0,42.34985,-71.08952,,426,Marlborough Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-716s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Furnished Quarters,CorpGroup25,{'22541573.0': 1},False,210.0,42.358509999999995,-71.05719,,,Devonshire Street,Dock Square,Financial District,Boston,Suffolk County,Massachusetts,02201,United States of America,us,27-29 State St,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-162s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Aihua,14785487,{'nan': 1},False,457.0,42.31077,-71.08627,,76,Georgia Street,Grove Hall,Dorchester,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-333s,1,1,{'391602': 1},{'Expired/Void/Revoked': 1},,{},Ellen,19008767,{'nan': 1},False,109.0,42.33919,-71.04966999999999,,203,West Third Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-168s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jay,129278480,{'nan': 1},False,50.0,42.38848,-71.00211999999999,,235,Leyden Street,Orient Heights,,Boston,Suffolk County,Massachusetts,02150,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-90s,1,1,{'389081': 1},{'Expired/Void/Revoked': 1},,{},Bed and Breakfast Associates Bay Colony,CorpGroup37,{'32532791.0': 1},False,175.0,42.35021,-71.09801,,,Sidney Street,,Cambridgeport,Cambridge,Middlesex County,Massachusetts,02215,United States of America,us,,,,,,,,Boston University,,,,,,,,,,,,,unknown (too few),,,,False
9-501s,1,1,{'974333': 1},{'Not found (fabricated)': 1},,{'709 Metropolitan AVE 18 1 Hyde Park MA 02136': 1},Sonder,CorpGroup5,{'12243051.0': 1},False,156.0,42.35548,-71.05809,,,Tontine Crescent,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-165s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Kathe,75997654,{'nan': 1},False,100.0,42.34347,-71.07368000000001,,54,Montgomery Street,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-334s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Eunice,77158766,{'nan': 1},False,40.0,42.35972,-71.1455,,7,Lothrop Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02135,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-533s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Eunice,77158766,{'nan': 1},False,40.0,42.358909999999995,-71.14401,,1,Bronsdon Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02135,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-944s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Furnished Quarters,CorpGroup25,{'22541573.0': 1},False,210.0,42.34388,-71.08736,,15,Westland Avenue,,South End,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-335s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Agnieszka,18479599,{'nan': 1},False,100.0,42.324659999999994,-71.05781999999999,,15,Bellflower Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,01125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-336s,1,1,{'413503': 1},{'Active': 1},,{'709 Metropolitan AVE 18 1 Hyde Park MA 02136': 1},Jovan,14016102,{'nan': 1},False,75.0,42.26039,-71.1162,,1021,River Street,Fairmount,Hyde Park,Boston,Suffolk County,Massachusetts,02137,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
5-14s,1,1,{'Missing': 1},{'No license claimed': 1},,{},STR Boston,CorpGroup4,{'814298.0': 1},False,249.0,42.375,-71.05778000000001,,10,Prospect Street,Waterfront,Charlestown,Boston,Suffolk County,Massachusetts,02129,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-721s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jurek,CorpGroup36,{'21745230.0': 1},False,59.0,42.38391,-71.07879,,7,Parker Street,,Charlestown,Boston,Suffolk County,Massachusetts,02145,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-722s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Eunice,77158766,{'nan': 1},False,40.0,42.35884,-71.14434,,50,Portsmouth Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02134-1316,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-337s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Kathe,75997654,{'nan': 1},False,130.0,42.34382,-71.07368000000001,,50,Montgomery Street,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-847s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Eunice,77158766,{'nan': 1},False,41.0,42.35908,-71.14407,,50,Portsmouth Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02134-1316,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-535s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Kathe,75997654,{'nan': 1},False,66.0,42.34451,-71.07422,,121,Warren Avenue,South End,South End,Boston,Suffolk County,Massachusetts,02199,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-509s,1,1,{'974333': 1},{'Not found (fabricated)': 1},,{'709 Metropolitan AVE 18 1 Hyde Park MA 02136': 1},Sonder,CorpGroup5,{'12243051.0': 1},False,129.0,42.355779999999996,-71.05778000000001,,100,Franklin Street,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02110-1301,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-517s,1,1,{'974333': 1},{'Not found (fabricated)': 1},,{'709 Metropolitan AVE 18 1 Hyde Park MA 02136': 1},Sonder,CorpGroup5,{'12243051.0': 1},False,150.0,42.354420000000005,-71.05847,,62,Otis Street,Church Green,Financial District,Boston,Suffolk County,Massachusetts,02110-1301,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-525s,1,1,{'974333': 1},{'Not found (fabricated)': 1},,{'709 Metropolitan AVE 18 1 Hyde Park MA 02136': 1},Sonder,CorpGroup5,{'12243051.0': 1},False,158.0,42.355779999999996,-71.05944000000001,,1,Franklin Street,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02110-1301,United States of America,us,Millenium Tower,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-945s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Huggy,CorpGroup14,{'18517776.0': 1},False,36.0,42.31337,-71.09339,,23,Homestead Street,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-166s,1,1,{'383502': 1},{'Active': 1},,{'285 Roxbury ST 09 Roxbury MA 02119': 1},Gregory,101057334,{'nan': 1},False,78.0,42.33017,-71.09331999999999,,239,Roxbury Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-338s,1,1,{'383502': 1},{'Active': 1},,{'285 Roxbury ST 09 Roxbury MA 02119': 1},Gregory,101057334,{'nan': 1},False,78.0,42.32942,-71.09461999999999,,1,Harrington Avenue,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
5-7s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,101.0,42.3517,-71.12510999999999,,,Commonwealth Avenue,,Allston,Boston,Suffolk County,Massachusetts,02134-1433,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-536s,1,1,{'383502': 1},{'Active': 1},,{'285 Roxbury ST 09 Roxbury MA 02119': 1},Gregory,101057334,{'nan': 1},False,78.0,42.330090000000006,-71.09308,,239,Roxbury Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-534s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Lorena & Ivan (Myhomelike),28749942,{'nan': 1},False,175.0,42.35091,-71.0466,,22,Boston Wharf Road,Seaport District,Financial District,Boston,Suffolk County,Massachusetts,02210,United States of America,us,22 Boston Wharf Road,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-457s,1,1,{'974333': 1},{'Not found (fabricated)': 1},,{'709 Metropolitan AVE 18 1 Hyde Park MA 02136': 1},Sonder,CorpGroup5,{'12243051.0': 1},False,168.0,42.35543,-71.05808,,,Arch Street,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02110-1301,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-339s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jay,129278480,{'nan': 1},False,50.0,42.39051,-71.00331,,32,Beachview Road,Orient Heights,,Boston,Suffolk County,Massachusetts,02152,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-25s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Furnished Quarters,CorpGroup25,{'22541573.0': 1},False,210.0,42.345290000000006,-71.08800000000001,,99,Norway Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-33s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Huggy,CorpGroup14,{'18517776.0': 1},False,36.0,42.31343,-71.09345,,16,Homestead Street,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-537s,1,1,{'400320': 1},{'Active (limit exceeded)': 1},listing,{'51 Bennington ST 01 East Boston MA 02128': 1},Boris & Susan,69587,{'nan': 1},False,56.57,42.376540000000006,-71.03772,,46,Saratoga Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-286s,1,1,{'Missing': 1},{'No license claimed': 1},,{},STARS,CorpGroup16,{'31340713.0': 1},False,104.0,42.34006,-71.14529,,90,Kilsyth Road,Beaconsfield,,,Suffolk County,Massachusetts,02445-5841,United States of America,us,,,,,,,,,,,,,,,Brookline,,,,,,unknown (too few),,,,False
0-171s,1,1,{'425683': 1},{'Expired/Void/Revoked': 1},,{},Jordan,16284736,{'nan': 1},False,140.0,42.373979999999996,-71.03305999999999,,220,Bremen Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,02128,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-341s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Moon,91411121,{'nan': 1},False,89.0,42.35456,-71.14097,,61,North Beacon Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-342s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jeffery,30732884,{'nan': 1},False,195.0,42.28889,-71.06569,,21,Argyle Street,Ashmont,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-538s,1,1,{'414419': 1},{'Active': 1},,{'16 Howes ST 13 1 Dorchester MA 02125': 1},Piter & Stacy,30342817,{'nan': 1},False,53.0,42.31778,-71.05794,,14,Howes Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-539s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Moon,91411121,{'nan': 1},False,69.0,42.352990000000005,-71.13965,,541,Cambridge Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02134-1311,United States of America,us,,,,,,,,Helping Hands,,,,,,,,,,,,,unknown (too few),,,,False
0-172s,1,1,{'415647': 1},{'Expired/Void/Revoked': 1},,{},Maverick Empire,CorpGroup7,{'22348222.0': 1},False,96.0,42.34981,-71.08263000000001,,245,Newbury Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,Block F,,,,,,,,,,,,,,unknown (too few),,,,False
3-32s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Furnished Quarters,CorpGroup25,{'22541573.0': 1},False,219.0,42.346990000000005,-71.08419,,900,Boylston Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,Block F,Hynes Convention Center,,,,,,,,,,,,,unknown (too few),,,,False
0-947s,1,1,{'383106': 1},{'Active': 1},,{'85 Cambridge ST 02 2 Charlestown MA 02129': 1},Jurek,CorpGroup36,{'21745230.0': 1},False,55.0,42.38225,-71.07864000000001,,89,Cambridge Street,,Charlestown,Boston,Suffolk County,Massachusetts,02145,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
3-91s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Furnished Quarters,CorpGroup25,{'22541573.0': 1},False,210.0,42.34383,-71.08805,,45,Westland Avenue,,South End,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-343s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Alex,18150109,{'nan': 1},False,146.0,42.3274,-71.09656,,,Tremont Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,Roxbury Community College,,,,,,,,,,,,,unknown (too few),,,,False
0-170s,1,1,{'400320': 1},{'Active (limit exceeded)': 1},listing,{'51 Bennington ST 01 East Boston MA 02128': 1},Boris & Susan,69587,{'nan': 1},False,57.0,42.375859999999996,-71.0372,,48;50,Bennington Street,Eagle Hill,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,Central Assembly of God Church,,,,,,,,,,,,,unknown (too few),,,,True
0-848s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Marie,16186589,{'nan': 1},False,98.0,42.301159999999996,-71.0662,,161,Westville Street,Mount Ida,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-344s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Yuan,82946167,{'nan': 1},False,35.0,42.33923,-71.11376,,27,Francis Street,Brookline Village Commercial District,,,Norfolk County,Massachusetts,02446,United States of America,us,,,,,,,,Amos A. Lawrence School,,,,,,,Brookline,,,,,,unknown (too few),,,,False
0-540s,1,1,{'387480': 1},{'Active (limit exceeded)': 1},listing,{'55 Perthshire RD 22 2 Brighton MA 02135': 1},Charles,16441460,{'nan': 1},False,45.0,42.35418,-71.16776,,55,Perthshire Road,Faneuil,Brighton,Boston,Suffolk County,Massachusetts,02435,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-946s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Marie,16186589,{'nan': 1},False,33.0,42.28918,-71.0668,,89,Welles Avenue,Dorchester Center,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
5-21s,1,1,{'STRLH/STRBB': 1},{'Exempt (not verified)': 1},,{},STR Boston,CorpGroup4,{'814298.0': 1},False,200.0,42.34373,-71.0573,,59,Dorchester Avenue,Church Green,Financial District,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
8-6s,1,1,{'STRLH/STRBB': 1},{'Exempt (not verified)': 1},,{},STR Boston,CorpGroup4,{'814298.0': 1},False,105.0,42.35788,-71.07208,,31,Brimmer Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02108,United States of America,us,,,,,,,,,,,,,,Charles River Square,,,,,,,unknown (too few),,,,False
0-541s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jay,129278480,{'nan': 1},False,50.0,42.38991,-71.00155,,48,Orient Avenue,Orient Heights,,Boston,Suffolk County,Massachusetts,02152,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-173s,1,1,{'398048': 1},{'Active': 1},,{'136 Lexington ST 01 2 East Boston MA 02128': 1},Elisangela,9073339,{'nan': 1},False,196.0,42.37769,-71.03468000000001,,127,Princeton Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,02128,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
3-92s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Huggy,CorpGroup14,{'18517776.0': 1},False,36.0,42.31343,-71.0935,,21,Homestead Street,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-723s,1,1,{'400320': 1},{'Active (limit exceeded)': 1},listing,{'51 Bennington ST 01 East Boston MA 02128': 1},Boris & Susan,69587,{'nan': 1},False,57.0,42.3766,-71.03634,,69,Saratoga Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
3-34s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Marie,16186589,{'nan': 1},False,36.0,42.28698,-71.06495,,537,Talbot Avenue,Dorchester Center,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-340s,1,1,{'400320': 1},{'Active (limit exceeded)': 1},listing,{'51 Bennington ST 01 East Boston MA 02128': 1},Boris & Susan,69587,{'nan': 1},False,57.0,42.374970000000005,-71.03751,,182,London Street,Eagle Hill,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-345s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Kat,CorpGroup29,{'133927887.0': 1},False,192.0,42.34568,-71.08887,,115,Norway Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-555s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Dror,5578043,{'nan': 1},False,145.0,42.36424,-71.05259000000001,,16,Moon Street,Dock Square,North End,Boston,Suffolk County,Massachusetts,02113,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-544s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Agnieszka,18479599,{'nan': 1},False,65.0,42.32588,-71.05821999999999,,33,Washburn Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,01125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
8-20s,1,1,{'STRLH/STRBB': 1},{'Exempt (not verified)': 1},,{},STR Boston,CorpGroup4,{'814298.0': 1},False,205.0,42.342240000000004,-71.05716,,,Dorchester Avenue,Church Green,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,Broadway,,,,,,,,,,unknown (too few),,,,False
0-347s,1,1,{'387383': 1},{'Active': 1},,{'364 Meridian ST 01 1 East Boston MA 02128': 1},Monya,15943555,{'nan': 1},False,230.0,42.38025,-71.03973,,406,Meridian Street,Eagle Hill,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,Trinity Neighborhood House,,,,,,,,,unknown (too few),,,,True
1-12s,1,1,{'STRLH/STRBB': 1},{'Exempt (not verified)': 1},,{},STR Boston,CorpGroup4,{'814298.0': 1},False,99.0,42.34989,-71.08542,,302,Commonwealth Avenue,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-724s,1,1,{'383502': 1},{'Active': 1},,{'285 Roxbury ST 09 Roxbury MA 02119': 1},Gregory,101057334,{'nan': 1},False,78.0,42.32947,-71.09340999999999,,,Centre Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,Boston 3 Miles,,,,,,,,,unknown (too few),,,,True
0-543s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Javier/ Gilberto,132606746,{'nan': 1},False,75.0,42.315490000000004,-71.10151,,22,Dalrymple Street,,Roxbury,Boston,Suffolk County,Massachusetts,02130-0947,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
1-17s,1,1,{'STRLH/STRBB': 1},{'Exempt (not verified)': 1},,{},STR Boston,CorpGroup4,{'814298.0': 1},False,80.0,42.3491,-71.08561,,48,Hereford Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,Block G,,,,,,,,,,,,,,unknown (too few),,,,False
1-23s,1,1,{'STRLH/STRBB': 1},{'Exempt (not verified)': 1},,{},STR Boston,CorpGroup4,{'814298.0': 1},False,76.0,42.34916,-71.08484,,287,Newbury Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,Block G,,,,,,,,,,,,,,unknown (too few),,,,False
5-26s,1,1,{'STRLH/STRBB': 1},{'Exempt (not verified)': 1},,{},STR Boston,CorpGroup4,{'814298.0': 1},False,76.0,42.34959,-71.08493,,294,Commonwealth Avenue,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-725s,1,1,{'413525': 1},{'Active (limit exceeded)': 1},listing,{'422 Bowdoin ST 15 2 Dorchester MA 02122': 1},Eder,CorpGroup23,{'25203946.0': 1},False,277.0,42.31158,-71.0637,,121,Hancock Street,Kane Square,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-348s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Lara,59234220,{'nan': 1},False,199.0,42.36006,-71.06755,,28R,Phillips Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02114,United States of America,us,,,,,,,,,,,,,,Charles River Square,,,,,,,unknown (too few),,,,False
0-726s,1,1,{'024856': 1},{'Not found (fabricated)': 1},,{'16 Westminster AVE 11 A-2 Roxbury MA 02119': 1},Javier/ Gilberto,132606746,{'nan': 1},False,43.0,42.314409999999995,-71.1024,,10,Brookside Avenue,Forest Hills,Roxbury,Boston,Suffolk County,Massachusetts,02130,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-349s,1,1,{'425683': 1},{'Expired/Void/Revoked': 1},,{},Jordan,16284736,{'nan': 1},False,230.0,42.37378,-71.03215,,,East Boston Expressway,Day Square,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-346s,1,1,{'413525': 1},{'Active (limit exceeded)': 1},listing,{'422 Bowdoin ST 15 2 Dorchester MA 02122': 1},Eder,CorpGroup23,{'25203946.0': 1},False,313.0,42.30935,-71.06239000000001,,24,Winter Street,Kane Square,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-727s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Voyage,CorpGroup34,{'2356643.0': 1},False,84.0,42.35761,-71.06385,,,,Downtown Crossing,Beacon Hill,Boston,Suffolk County,Massachusetts,,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
